dataset,column,metric,value
job_skills_raw,_dataset,row_count,213768
job_skills_raw,job_id,null_count,0
job_skills_raw,skill_abr,null_count,0
job_skills_raw,skill_abr,distinct_count,35
job_skills_raw,job_id,distinct_count,126807
skills_raw,_dataset,row_count,35
skills_raw,skill_abr,null_count,0
skills_raw,skill_name,null_count,0
skills_raw,skill_abr,distinct_count,35
skills_raw,skill_name,distinct_count,35
skills_clean,_dataset,post_join_row_count,213768
skills_clean,_dataset,dropped_orphaned_skill_codes,0
skills_clean,_dataset,row_count,213768
skills_clean,_dataset,dropped_duplicate_job_skill_pairs,0
skills_clean,_dataset,total_dropped,0
