subcohort,experience_level,median_salary,posting_count
layoff_affected,Associate,104300.0,43
non_affected,Associate,74880.0,3732
layoff_affected,Director,211000.0,66
non_affected,Director,165000.0,1192
layoff_affected,Entry level,101750.0,162
non_affected,Entry level,52000.0,8859
layoff_affected,Executive,262500.0,10
non_affected,Executive,190000.0,366
layoff_affected,Internship,68640.0,10
non_affected,Internship,47840.0,355
layoff_affected,Mid-Senior level,147812.5,609
non_affected,Mid-Senior level,106870.4,12098
