subcohort,skill_name,n,pct_of_subcohort
layoff_affected,Information Technology,1276,19.44
layoff_affected,Engineering,857,13.05
layoff_affected,Sales,695,10.59
layoff_affected,Management,390,5.94
layoff_affected,Business Development,372,5.67
layoff_affected,Other,349,5.32
layoff_affected,Manufacturing,340,5.18
layoff_affected,Marketing,298,4.54
layoff_affected,Project Management,218,3.32
layoff_affected,Finance,207,3.15
non_affected,Information Technology,23650,12.07
non_affected,Sales,20094,10.26
non_affected,Management,19693,10.05
non_affected,Manufacturing,17124,8.74
non_affected,Health Care Provider,16317,8.33
non_affected,Business Development,12655,6.46
non_affected,Other,11842,6.04
non_affected,Engineering,11526,5.88
non_affected,Finance,7676,3.92
non_affected,Marketing,5011,2.56
