obs_date,year,month,industry,job_openings_rate,hires_rate
2000-12-01,2000,12,Information,4.2,3.0
2001-01-01,2001,1,Information,4.3,4.6
2001-02-01,2001,2,Information,3.8,3.6
2001-03-01,2001,3,Information,3.4,3.0
2001-04-01,2001,4,Information,4.4,3.4
2001-05-01,2001,5,Information,2.9,3.1
2001-06-01,2001,6,Information,3.0,3.1
2001-07-01,2001,7,Information,3.1,3.3
2001-08-01,2001,8,Information,3.2,3.2
2001-09-01,2001,9,Information,1.8,2.9
2001-10-01,2001,10,Information,2.0,2.9
2001-11-01,2001,11,Information,2.5,3.2
2001-12-01,2001,12,Information,2.8,3.0
2002-01-01,2002,1,Information,2.6,3.0
2002-02-01,2002,2,Information,2.8,2.6
2002-03-01,2002,3,Information,2.6,2.8
2002-04-01,2002,4,Information,2.7,2.7
2002-05-01,2002,5,Information,3.1,2.4
2002-06-01,2002,6,Information,2.0,2.7
2002-07-01,2002,7,Information,2.7,2.5
2002-08-01,2002,8,Information,2.4,2.6
2002-09-01,2002,9,Information,2.0,2.5
2002-10-01,2002,10,Information,2.1,2.8
2002-11-01,2002,11,Information,2.6,2.7
2002-12-01,2002,12,Information,1.8,2.4
2003-01-01,2003,1,Information,2.4,2.8
2003-02-01,2003,2,Information,2.2,2.6
2003-03-01,2003,3,Information,2.5,2.7
2003-04-01,2003,4,Information,1.7,2.0
2003-05-01,2003,5,Information,1.8,3.0
2003-06-01,2003,6,Information,2.2,2.7
2003-07-01,2003,7,Information,1.9,2.7
2003-08-01,2003,8,Information,2.0,2.5
2003-09-01,2003,9,Information,2.9,2.7
2003-10-01,2003,10,Information,2.8,2.7
2003-11-01,2003,11,Information,2.0,2.4
2003-12-01,2003,12,Information,2.6,2.9
2004-01-01,2004,1,Information,2.4,2.3
2004-02-01,2004,2,Information,2.7,3.0
2004-03-01,2004,3,Information,2.5,2.6
2004-04-01,2004,4,Information,2.6,2.6
2004-05-01,2004,5,Information,3.1,2.5
2004-06-01,2004,6,Information,2.7,3.2
2004-07-01,2004,7,Information,3.0,2.0
2004-08-01,2004,8,Information,2.7,2.4
2004-09-01,2004,9,Information,2.8,2.5
2004-10-01,2004,10,Information,3.1,2.4
2004-11-01,2004,11,Information,2.0,2.2
2004-12-01,2004,12,Information,3.1,2.3
2005-01-01,2005,1,Information,2.8,2.5
2005-02-01,2005,2,Information,2.4,2.1
2005-03-01,2005,3,Information,2.8,3.0
2005-04-01,2005,4,Information,3.3,2.8
2005-05-01,2005,5,Information,2.4,2.7
2005-06-01,2005,6,Information,3.4,2.5
2005-07-01,2005,7,Information,3.1,3.0
2005-08-01,2005,8,Information,3.5,3.2
2005-09-01,2005,9,Information,3.9,3.4
2005-10-01,2005,10,Information,3.3,2.5
2005-11-01,2005,11,Information,3.6,3.4
2005-12-01,2005,12,Information,3.4,3.1
2006-01-01,2006,1,Information,3.9,2.8
2006-02-01,2006,2,Information,3.9,3.6
2006-03-01,2006,3,Information,3.9,3.1
2006-04-01,2006,4,Information,4.6,2.9
2006-05-01,2006,5,Information,4.3,3.3
2006-06-01,2006,6,Information,4.1,3.1
2006-07-01,2006,7,Information,4.6,3.3
2006-08-01,2006,8,Information,5.1,3.0
2006-09-01,2006,9,Information,4.9,2.8
2006-10-01,2006,10,Information,4.7,2.9
2006-11-01,2006,11,Information,5.2,3.2
2006-12-01,2006,12,Information,5.2,2.9
2007-01-01,2007,1,Information,4.7,3.2
2007-02-01,2007,2,Information,5.7,3.0
2007-03-01,2007,3,Information,5.4,2.6
2007-04-01,2007,4,Information,4.9,3.0
2007-05-01,2007,5,Information,5.7,3.0
2007-06-01,2007,6,Information,5.3,2.8
2007-07-01,2007,7,Information,4.8,2.8
2007-08-01,2007,8,Information,4.1,2.9
2007-09-01,2007,9,Information,3.7,2.6
2007-10-01,2007,10,Information,3.3,2.3
2007-11-01,2007,11,Information,4.0,2.0
2007-12-01,2007,12,Information,3.5,2.2
2008-01-01,2008,1,Information,2.3,2.7
2008-02-01,2008,2,Information,2.2,2.2
2008-03-01,2008,3,Information,2.8,2.3
2008-04-01,2008,4,Information,2.8,2.2
2008-05-01,2008,5,Information,2.5,2.0
2008-06-01,2008,6,Information,3.0,2.3
2008-07-01,2008,7,Information,2.2,1.6
2008-08-01,2008,8,Information,2.5,1.6
2008-09-01,2008,9,Information,2.0,2.2
2008-10-01,2008,10,Information,2.3,2.7
2008-11-01,2008,11,Information,2.1,2.0
2008-12-01,2008,12,Information,1.9,2.1
2009-01-01,2009,1,Information,2.3,2.1
2009-02-01,2009,2,Information,2.3,2.1
2009-03-01,2009,3,Information,1.6,2.2
2009-04-01,2009,4,Information,1.2,1.9
2009-05-01,2009,5,Information,1.3,2.1
2009-06-01,2009,6,Information,1.6,2.2
2009-07-01,2009,7,Information,1.4,2.5
2009-08-01,2009,8,Information,1.3,2.0
2009-09-01,2009,9,Information,2.0,2.1
2009-10-01,2009,10,Information,2.4,2.5
2009-11-01,2009,11,Information,1.3,2.4
2009-12-01,2009,12,Information,2.0,2.4
2010-01-01,2010,1,Information,3.0,2.3
2010-02-01,2010,2,Information,2.7,2.0
2010-03-01,2010,3,Information,1.9,2.0
2010-04-01,2010,4,Information,2.6,1.8
2010-05-01,2010,5,Information,2.9,1.8
2010-06-01,2010,6,Information,2.1,1.9
2010-07-01,2010,7,Information,3.5,2.0
2010-08-01,2010,8,Information,3.0,2.1
2010-09-01,2010,9,Information,2.3,2.3
2010-10-01,2010,10,Information,2.2,2.4
2010-11-01,2010,11,Information,2.7,2.5
2010-12-01,2010,12,Information,2.9,2.4
2011-01-01,2011,1,Information,3.1,2.3
2011-02-01,2011,2,Information,2.5,2.0
2011-03-01,2011,3,Information,3.9,2.2
2011-04-01,2011,4,Information,3.4,2.7
2011-05-01,2011,5,Information,3.8,2.4
2011-06-01,2011,6,Information,3.4,2.6
2011-07-01,2011,7,Information,3.8,1.7
2011-08-01,2011,8,Information,3.8,2.7
2011-09-01,2011,9,Information,4.2,2.3
2011-10-01,2011,10,Information,4.1,2.1
2011-11-01,2011,11,Information,3.4,2.3
2011-12-01,2011,12,Information,4.0,2.6
2012-01-01,2012,1,Information,3.2,2.0
2012-02-01,2012,2,Information,3.4,2.7
2012-03-01,2012,3,Information,3.6,2.5
2012-04-01,2012,4,Information,3.7,2.5
2012-05-01,2012,5,Information,3.0,2.7
2012-06-01,2012,6,Information,3.8,2.1
2012-07-01,2012,7,Information,2.7,1.9
2012-08-01,2012,8,Information,3.3,3.1
2012-09-01,2012,9,Information,3.4,2.2
2012-10-01,2012,10,Information,3.1,2.4
2012-11-01,2012,11,Information,3.7,2.7
2012-12-01,2012,12,Information,3.1,2.5
2013-01-01,2013,1,Information,2.8,2.3
2013-02-01,2013,2,Information,3.8,3.1
2013-03-01,2013,3,Information,3.5,1.9
2013-04-01,2013,4,Information,2.4,2.6
2013-05-01,2013,5,Information,3.6,3.0
2013-06-01,2013,6,Information,3.7,3.3
2013-07-01,2013,7,Information,3.7,3.3
2013-08-01,2013,8,Information,2.6,3.1
2013-09-01,2013,9,Information,3.6,3.5
2013-10-01,2013,10,Information,4.4,3.0
2013-11-01,2013,11,Information,4.0,2.9
2013-12-01,2013,12,Information,4.0,3.1
2014-01-01,2014,1,Information,3.9,3.3
2014-02-01,2014,2,Information,3.8,3.0
2014-03-01,2014,3,Information,3.7,3.3
2014-04-01,2014,4,Information,4.0,2.9
2014-05-01,2014,5,Information,4.0,2.7
2014-06-01,2014,6,Information,3.6,2.9
2014-07-01,2014,7,Information,4.0,3.3
